# “V•¶”NŠÓ2020 å‚ÈP¯(p328),,,,,,,,,,,,,,
¯–¼,ŒÅ—L–¼,ÔŒo(hhmmss),ÔˆÜ(}ddmm.m),ŒÅ—L‰^“®(ƒ¢ƒ¿cosƒÂ)(ms/”N),ŒÅ—L‰^“®(ƒ¢ƒÂ)(ms/”N),‹âŒo(‹),‹âˆÜ(‹),À‹“™‹‰V,Fw”B-V,ƒXƒyƒNƒgƒ‹Œ^,‹ü‘¬“x(km/s),‰ñ“]‘¬“x(km/s),”Nü‹·(ms),‹——£(Œõ”N)
ƒ¿ Ari,Hamal,020711,+2327.7,+0191,-0146,144.6,-36.2,2.00,+1.15,K2‡VCa-1,-14,<17,49,66
ƒÀ Tri,,020933,+3459.2,+149,-0039,140.6,-25.2,3.00,+0.14,A5‡V-‡W,10,76,26,120
ƒ¿ Cet,Mira,021921,-0258.7,+0010,-0239,167.8,-58.0,2.00v,+1.42,M7‡Ve+Bep,64,,8,420
ƒ¿ UMi,Polaris,023154,+8915.8,+0044,-0012,123.3,+26.5,2.02,+0.60,F7‡T b-‡U-17,-17,17,8,430
ƒÆ Eri,Acamar,025816,-4018.3,-0054,+0026,247.9,-60.7,2.91d,+0.13,A4‡V+A1‡X,12,74,20,160
ƒ¿ Cel,Menkar,030217,+0405.4,-0012,-0079,173.3,-45.6,2.53,+1.64,M1.5‡Va,-26,,15,220
ƒÁ Per,,030448,+5330.4,+0001,-0004,142.1,-4.3,2.93,+0.70,G8‡V+A2‡X,3,…50,134,260
ƒÀ Per,Algol,030810,+4057.3,+0002,-0001,149.0,-14.9,2.12dv,-0.05,B8‡X,4,65,35,93
ƒ¿ Per,Mirfak,032419,+4951.7,+0024,-0026,146.6,-5.9,1.79,+0.48,F5‡Tb,-2,18,60,590
ƒÂ Per,,034256,+4747.2,+0024,-0042,1503,-5.8,3.01,-0.13,B5‡Ve,4,259,60,530
ƒÁ Hyi,,034715,-7414.3,+0051,+0115,289.1,-37.8,3.24,+1.62,M2‡V,16,,15,210
ƒÅ Tau,Alcyone,034729,+2406.3,+0019,-0043,166.7,-23.5,2.87d,-0.09,B7‡Vc,10,215,9,370
ƒÄ Per,,035408,+3153.0,+0004,-0009,162.3,-16.7,2.85,+0.12,B1 ‡T b,20,59,32,980
ƒÃ Per,,035751,+4000.6,+0013,-0024,157.4,-10.1,2.89,-0.18,B05‡X+A2‡X,1,153,60,540
ƒÁ Eri,Zaurak,035802,-1330.5,+0061,-0111,205.2,-44.5,2.95,+1.59,M05‡VCa-1Cr-1,62,,15,220
ƒ¿ Dor,,043400,-5502.7,+0058,+0013,263.8,-41.4,3.27d,-0.10,A0‡VSi+B9‡W,26,82,19,180
ƒ¿ Tau,aAldebaran,043555,+1630.5,+0063,-0189,181.0,-20.3,0.85,+1.54,K5+‡V,54,<17,50,65
ƒÎ Ori,Tabit,044951,+0657.7,+0463,+0012,191.5,-23.1,3.19,+0.45,F6‡X,24,17,125,260
ƒÇ Aur,Hassaleh,045700,+3310.0,+0004,-0019,170.6,-6.2,2.69,+1.53,K3‡U,18,<17,60,510
ƒÃ Aur,Almaaz,050158,+4349.4,+0000,-0002,162.8,+1.2,2.99v,+0.54,Fo‡Tae+B,-3,29,20,2000
ƒÃ Lep,,050528,-2222.3,+0019,-0072,223.3,-32.7,3.19,+1.46,K5‡V,1,,14,230
ƒÅ Aur,Haedus,050631,+4114.0,+0031,-0068,165.4,+0.3,3.17,-0.18,B3‡X,75,132,15,220
ƒÀ Eri,Cursa,050751,-0505.2,-0083,-0075,205.3,-25.3,2.79,+0.13,A3‡V,-9,179,37,89
ƒÀ Ori,Rigel,051432,-0812.1,+0002,-0001,209.2,-25.3,0.12,-0.03,B8‡Ta,21,33,42,770
ƒ¿ Aur,Capella,051642,+4559.7,+0076,-0427,162.6,+4.6,0.08d,-0.80,G5‡Ve+G0‡V,30,,77,420
ƒÁ Ori,Bellartrix,052508,+0621.0,-0009,-0013,196.9,-16.0,1.64,-0.22,B2‡V,18,59,134,240
ƒÀ Tau,Elnath,052618,+2836.4,+0023,-0174,178.0,-3.7,1.65,-0.13,B7‡V,9,71,25,130
ƒÀ Lep,Nihal,052815,-2045.6,-0005,-0086,223.6,-27.2,2.83d,+0.82,G5‡U,-14,113,20,160
ƒÂ Ori,Mintaka,053200,-0017.9,+0002,+0001,203.9,-17.7,2.22d,-0.22,O9.5‡U+B2‡X,16,152,4,920
ƒ¿ Lep,Arneb,053244,-1749.3,+0003,+0002,221.0,-25.1,2.58,+0.21,F0‡Tb,24,132,3,1300
ƒÇ Ori,Hatysa,053526,-0554.6,+0002,-0001,209.5,-19.6,2.76d,-0.24,O9‡V+B7‡W,22,130,20,1300
ƒÃ Ori,Alnilam,053613,-0112.1,+0001,-0001,205.2,-17.2,1.70,-0.19,B0‡Ta,26,87,20,1300
ƒÄ Tau,Tianguan,053739,+2108.5,+0002,-0018,185.7,-5.6,3.00d,-0.19,B4‡Vpe,20,310,8,420
ƒ¿ Col,Phact,053939,-3404.5,-0000,-0024,238.9,-28.9,2.64,-0.12,B7‡We,35,176,125,270
ƒÄ Ori,Alnitak,054046,-0156.6,+0004,+0003,206.5,-16.6,1.77d,-0.21,O9.7‡Tb+B0‡V,18,140,4,820
ƒÈ Ori,Saiph,054745,-0940.2,+0002,-0001,214.5,-1+.5,2.06,-0.17,B0.5‡Ta,21,82,5,720
ƒÀ Col,Wazn,055058,-3546.0,+0056,+0405,241.4,-27.1,3.12,+1.16,K2‡VCa-1,89,,38,86
ƒ¿ Ori,Betelgeuse,055510,-0724.4,+0027,+0011,199.8,-9.0,0.50v,+1.85,M1-2‡Ta-‡Tab,21,,8,430
ƒÀ Aur,Menkalinan,055932,+4456.8,+-0056,-0001,167.5,+10.4,1.90,+0.03,A2‡W,-18,37,440,82
ƒÆ Aur,Mahasim,055943,+3712.7,+0042,-0074,174.3,+6.7,2.62d,-0.08,A0pSi+G2‡X,30,49,19,170
ƒÅ Gem,Propus,061453,+2230.4,-0063,-0010,188.9,+2.5,3.28dv,+1.60,M3‡V,19,,9,350
ƒÄ CMa,Furud,062019,-3003.8,+0008,+0004,237.5,-19.4,3.02,-0.19,B2.5‡X,32,63,10,340
ƒÀ CMa,Mirzam,062242,-1757.4,-0003,-0000,226.1,-14.3,1.98,-0.23,B1‡U-‡V,34,36,77,500
ƒÊ Gem,Tejat,062258,+2230.8,+2257,-0109,189.7,+4.2,2.88,+1.64,M3‡Vab,55,,14,230
ƒ¿ Car,Canopus,062357,-5241.7,+0020,+0024,261.2,-25.3,-0.72,+0.15,F0‡U,21,0,10,310
ƒÁ Gem,Alhena,063743,+1623.9,-0002,-0067,196.8,+4.5,1.93,0.00,A0‡W,-13,32,31,100
ƒË Pup,,063746,-4311.8,-0000,-0004,251.9,-20.5,3.17,-0.11,B8‡V,28,228,8,420
ƒÃ Gem,Mebsuta,064356,+2507.9,-0006,-0013,189.5,+9.6,2.98,+1.40,G8‡Tb,10,<17,4,900
ƒ¿ CMa,Sirius,064508,-1643.4,-0546,-1223,227.2,-8.9,-1.46,0.00,A1‡Xm,-8,130,379,8.6
ƒ¿ Pic,,064811,-6156.4,-0068,+0242,271.9,-24.1,3.27,+0.21,A7‡W,21,205,33,99
ƒÑ Pup,,064956,-5036.9,+0034,-0066,260.2,-20.9,2.93,+1.20,K1‡V,36,,18,180
ƒÃ CMa,Adhara,065838,-2858.3,+0003,+0002,239.8,-11.3,1.50,-0.21,B2‡U,27,44,8,430
ƒÍ CMa,,070301,-2.350.0,-0002,+0004,235.6,-8.2,3.02,-0.08,B3‡Tab,48,44,1,2600
ƒÂ CMa,Wezen,070823,-2623.6,-0003,+0003,238.4,-8.3,1.84,+0.68,F8‡Ta,34,28,2,1800
ƒÅ CMa,Aldra,072406,-2918.2,-0004,+0007,242.5,-6.5,2.45,-0.08,B5‡Ta,41,45,1,3200
ƒÀ CMi,Gomesia,072709,-0817.3,-0050,-0038,209.5,+11.7,2.90,-0.06,B8‡Xe,22,276,19,170
ƒĞ Pup,,072914,-4318.0,-0060,+0189,255.7,-11.9,3.25,1.51,K5‡V,88,,18,180
ƒ¿ Gem,Castor,073436,+3153.2,-0206,-0148,187.4,+22.5,1.59d,+0.03,A1‡X+A2‡Xm,62,140,63,52
ƒ¿ CMi,Procyon,073917,-0513.1,-0717,-1035,213.7,-13.0,0.38,+0.42,F5‡W-‡X,-3,62,286,11
ƒÀ Gem,Pollux,074518,+2801.6,-0626,-0046,192.2,+23.4,1.14,+1.00,K0‡Vb,3,<17,97,340
ƒÄ Pup,Naos,080335,-4000.2,-0031,+0017,256.0,-4.7,2.25,-0.26,O5f,-24,211,2,1400
ƒÏ Pup,Tureis,080733,-2418.2,-0083,+0046,243.2,-4.4,2.81,+0.43,F6‡UpƒÂ,46,140,52,63
ƒÁ Vel,,080932,-4720.2,-0006,+0010,262.8,-7.7,1.66d,-0.22,WC8+O9‡T+B1‡W,35,,4,840
ƒÃ Car,Avior,082231,-5930.6,-0025,+0023,274.3,-12.6,1.86,+1.28,K3‡V+B2‡X,2,,5,630
ƒÂ Vel,Alsephina,084442,-5442.6,+0029,-0104,272.1,-7.4,1.96d,+0.04,A1‡X+A2‡Xm,2,40,41,80
ƒÄ Hya,,085523,+0556.7,-0100,+0015,222.3,+30.2,3.11,+1.00,G9‡U-‡V,23,<17,22,150
ƒÇ UMa,Talitha,085912,+4802.4,-0441,-0215,171.5,+40.8,3.14,+0.19,A7‡W,9,151,68,48
ƒÉ Vel,Suhail,090800,-4326.0,-0023,+0014,265.9,+2.8,2.21,+1.66,K4.5‡Tb-‡U,18,,60,570
ƒÀ Car,Miaplacidus,091311,-6943.0,-0158,+0109,286.0,-14.4,1.68,0.00,A2‡W,-5,133,29,110
ƒÇ Car,Aspidiske,091705,-5916.5,-0019,+0013,278.5,-7.0,2.25,+0.18,A81b,13,0,5,690
ƒ¿ Lyn,,092103,+3423.6,-0223,+0015,190.2,+44.7,3.13,+1.55,K7‡Uab,38,,15,220
ƒÈ Vel,Markeb,092207,-5500.6,-0011,+0011,275.9,-3.5,2.50,-0.18,B2‡W-‡X,22,49,60,540
ƒ¿ Hya,Alphard,092735,-0839.5,-0014,+0033,241.5,+29.1,1.98,+1.44,K3‡U-‡V,-4,<17,18,180
N Vel,,093113,-5702.1,-0033,+0006,278.2,-4.1,3.13,+1.55,K5‡V,-14,,14,240
ƒÆ UMa,,093249,+5140.5,-0947,-0536,165.5,+45.7,3.17,+0.46,F6‡W,15,12,74,44
ƒÃ Leo,,094551,+2346.5,-0046,-0010,206.8,+48.2,2.98,+0.80,G1‡U,4,<17,13,250
ƒË Car,,094706,-6504.3,-0012,+0005,285.0,-8.8,296d,+0.28,A6‡Tb+B7‡V,14,0,2,1600
ƒ¿ Leo,Regulus,100822,+1158.0,-0249,+0005,226.4,+48.9,1.35,-0.11,B7‡X,6,329,42,77
ƒÁ Leo,Algieba,101959,+1950.4,+0311,-0153,216.6,+54.7,1.90d,+1.15,K1-‡VBFe05+G7‡VFe1,-37,<17,26,130
ƒÊ UMa,Tania Australis,102220,+4130.0,-0080,+0034,177.9,+56.4,3.05,+1.59,M0‡V,-21,,134,250
ƒÆ Car,,104257,-6423.7,-0019,+0012,289.6,-4.9,2.76d,-0.22,B0‡Xp,24,151,77,440
ƒÊ Vel,,104646,-4925.2,+0063,-0054,283.0,+8.6,2.65d,+0.90,G5‡V+G2‡X,6,,28,120
ƒË Hya,,104938,-1611.6,+0093,+0199,265.1,+37.6,3.11,+1.25,K2‡V,-1,<17,24,140
ƒÀ UMa,Merak,110151,+5623.0,+0082,+0034,149.2,+54.8,2.37,-0.02,A1‡X,-12,39,41,79
ƒ¿ UMa,Dubhe,110343,+6145.0,-0136,-0035,142.9,+51.0,1.79d,+1.07,K0‡Va+F0‡X,-9,<17,26,120
ƒµ Uma,,110940,+4429.9,-0062,-0027,165.8,+63.2,3.01,+1.14,K1‡V,-4,<19,22,150
ƒÂ Leo,Zosma,111407,+2031.4,+0143,-0130,224.2,+66.8,2.56,+0.12,A4‡X,-20,181,57,58
ƒÉ Cen,,113547,-6301.2,-0034,-0007,294.5,-1.4,3.13,-0.04,B9‡V,-1,0,8,410
ƒÀ Leo,Denebola,114903,+1434.3,-0499,-0114,250.7,+70.8,2.14,+0.09,A3‡X,0,121,90,36
ƒÁ UMa,Phecda,115350,+5341.7,+0108,+0011,140.8,+61.4,2.44,0.00,A0‡X,-13,168,39,84
ƒÂ Cen,,120821,-5043.3,-0048,-0006,296.0,+11.6,2.60,-0.12,B2‡Wne,11,181,8,400
ƒÃ Crv,,121007,-2237.2,-0072,+0011,290.6,+39.3,3.00,+1.33,K2.5‡VaBa0.2,5,,11,300
ƒÂ Cru,Imal,121509,-5844.9,-0037,-0011,298.2,+3.8,2.80,-0.23,B2‡W,22,194,9,360
ƒÁ Crv,Gienah,121548,-1732.5,-0160,+0022,291.0,+44.5,2.59,-0.11,B8‡VpHgMn,-4,41,20,160
ƒ¿ Cru,Acrux,122636,-6306.0,-0035,-0015,300.1,-0.4,0.76d,-0.25,B05‡W+B1‡X,-11,117,10,320
ƒÂ Crv,Algorab,122952,-1631.0,-1210,-0139,295.5,+46.1,2.95,-0.05,B9.5‡X,9,148,37,88
ƒÁ Cru,Gacrux,123110,-5706.9,+0028,-0264,300.2,+5.7,1.63,+1.59,M3.5‡V,21,,37,88
ƒÀ Crv,Kraz,123423,-2323.8,+0001,+0056,297.9,+393,2.65,+0.89,G5‡U,-8,<17,23,140
ƒ¿ Mus,,123711,-6908.1,-0040,-0012,301.7,-6.3,2.69,-0.2,B2‡W-‡X,13,147,11,310
ƒÁ Cen,,124131,-4857.6,-0187,-0001,301.3,+13.9,2.17d,-0.01,A0‡V+A0‡V,-6,81,25,130
ƒÁ Vir,Porrima,124139,-0126.9,-0617,+0061,297.9,+61.3,2.75d,+0.36,F0‡X+F0‡X,-20,28,85,39
ƒÀ Mus,,124617,-6806.5,-0040,-0010,302.5,-5.2,3.05d,-0.18,B2.5‡X,42,184,10,310
ƒÀ Cru,Mimosa,124743,-5941.3,-0048,-0013,302.5,+3.2,1.25,-0.23,B0.5‡V,16,38,9,350
ƒÃ UMa,Alioth,125402,+5557.6,+0112,-0009,122.2,+61.2,1.77,-0.02,A0pCr,-9,38,40,81
ƒ¿ CVn,CorCaroli,125601,+3819.1,-0233,+0055,118.3,+78.8,2.81d,-0.12,A0pSiEuHg+F0‡X,-3,29,30,110
 Vir,Vindemiatrix,130210,+1057.6,-0275,+0020,312.3,+73.6,2.83,+0.94,G8‡Vab,-14,<17,32,100
ƒÁ Hya,,131855,-2310.3,+0068,-0041,311.1,+39.3,3.00,+0.92,G8-‡Va,-5,<17,25,130
ƒÇ Cen,,132035,-3642.8,-0341,-0088,309.4,+25.8,2.75,+0.04,A2‡X,0,85,56,59
ƒÄ UMa,Mizar,132356,+5455.5,+0121,-0022,113.1,+61.6,2.06d,+0.02,A1‡XpSrSi+Alm,-6,32,42,78
ƒ¿ Vir,Spica,132512,-1109.7,-0043,-0032,316.1,+50.8,0.98d,-0.23,B1‡V-‡W+B2‡X,1,159,12,260
ƒÃ Cen,,133953,-5328.0,-0015,-0013,310.2,+8.7,2.30,-0.22,B1‡V,3,139,9,380
ƒÅ UMa,Alkaid,134732,+4918.8,-021,-0016,100.7,+65.3,1.86,-0.19,B3‡X,-11,205,32,100
ƒÊ Cen,,134937,-4228.4,-0024,-0019,314.2,+19.1,3.04v,-0.17,B2‡W-‡Xe,9,175,6,530
ƒÅ Boo,Muphrid,135441,+1823.7,-0061,-0358,5.3,+73.0,2.68,+0.58,G0‡W,0,13,88,37
ƒÄ Cen,,135532,-4717.3,-0057,-0045,314.1,+14.2,2.55,-0.22,B2.5‡W,7,219,8,380
ƒÀ Cen,Hadar,140349,-6022.4,-0034,-0025,311.8,+1.3,0.61d,-0.23,B1‡V,6,139,6,520
ƒÎ Hya,,140622,-2641.0,+0043,-0141,323.0,+33.3,3.27,+1.12,K2-‡V-‡VbFe-0.5,27,,32,100
ƒÆ Cen,Menkent,140640,-3622.4,-0519,-0518,319.5,+24.1,2.06,+1.01,K0-‡Vb,1,,54,61
ƒ¿ Boo,Arcturus,141538,+1910.3,-1093,-1999,15.1,+69.1,-0.04,+1.23,K1.5‡VFe-0.5,-5,<17,89,37
ƒÁ Boo,Seginus,143204,+3818.5,-0116,+0152,67.3,+66.2,3.03,+0.19,A7‡V,-37,139,38,85
ƒÅ Cen,,143530,-4209.5,-0035,-0032,322.8,+16.7,2.31,-0.19,B1.5‡Xne,0,333,11,310
ƒ¿ Cen,Rigil Kentaurus,143926,-6049.9,-3678,+0482,315.8,-0.7,-0.28d,+0.76,G2‡X,-22,,742,4.4
ƒ¿ Lup,,144156,-4723.3,-0021,-0024,321.6,+11.4,2.30,-0.20,B1.5‡V/‡Xn,5,24,6,550
ƒ¿ Cir,,144230,-6458.6,-0193,-0234,314.3,-4.6,3.19,+0.24,ApSrEuCr,7,0,61,53
ƒÃ Boo,Izar,144459,+2704.5,-0051,+0020,39.4,+64.8,2.37d,+0.97,K0-‡U-‡V+A2‡X,-17,,16,210
ƒÀ UMi,Kochab,145042,+7409.3,-0032,+0012,112.7,+40.5,2.08,+1.47,K4-‡V,17,<17,26,130
ƒ¿ Lib,Zubenelgenubi,145053,-1602.5,-0106,-0069,340.3,+38.0,2.75d,+0.15,A3‡W,-10,84,42,77
ƒÀ Lup,,145832,-4308.1,-0034,-0038,326.3,+13.9,2.68,-0.22,B2‡V/‡W,0,127,6,520
ƒÈ Cen,,145910,-4206.3,-0018,-0021,26.9,+14.8,3.13,-0.20,B2‡W,8,28,6,540
ƒĞ Lib,Brachium,150404,-2516.9,-0072,-0045,337.2,+28.6,3.29,+1.70,M3\‡V,-4,,11,290
ƒÀ Lib,Zubeneschamali,151700,-0923.0,-0096,-0021,352.0,+39.2,2.61,-0.11,B8‡X,-25,230,20,160
ƒÁ TrA,,151854,-6840.8,-0066,-0032,315.7,-9.6,2.89,+0.00,A1‡X,-3,214,18,180
ƒÁ UMi,Pherkad,152044,+7150.0,-0018,+0018,108.5,+40.8,3.05,+0.05,A3‡U-‡V,-4,171,7,480
ƒÂ Lup,,152122,-4038.9,-0019,-0024,331.3,+13.8,3.22,-0.22,B1.5‡W,0,221,6,510
ƒÇ Dra,Edasich,152456,+5858.0,-0008,+0017,94.0,+48.6,3.29,+1.16,K2‡V,-11,<17,32,100
ƒ¿ Crb,Alphecca,153441,+2642.9,+0120,-0089,41.9,+53.8,2.23,-0.02,A0‡X+G5‡X,2,133,44,75
ƒÁ Lup,,153508,-4110.0,-0016,-0026,333.2,+11.9,2.78d,-0.20,B2‡W,2,266,6,570
ƒ¿ Ser,Unkalhai,154416,+0625.6,+0135,+0044,14.2,+44.1,2.65,+1.17,K2‡VbCN1,3,<17,45,73
ƒÀ TrA,,155508,-6326.0,-0188,-0402,321.9,-7.5,2.85,+0.29,F2‡V,0,92,81,40
ƒÎ Sco,Fang,155851,-2606.9,-0012,-0026,347.2,+20.2,2.89d,-0.19,B1‡X+B2‡X,-3,100,7,460
ƒÂ Sco,Dschubba,160020,-2237.3,-0009,-0037,350.1,+22.5,1.86d,-0.12,B0.3‡We,-7,181,8,400
ƒÀ Suo,Acrab,160526,-1948.3,-0007,-0025,353.2,+23.6,2.50d,-0.07,B15‡X+B2‡X,-1,130,60,530
ƒÂ Oph,Yed Prior,161421,-0341.7,-0046,-0143,8.9,+32.2,2.74,+1.58,M0.5‡V,-20,,19,170
ƒÃ Oph,Yed Posterior,161819,-0441.5,+0082,+0040,8.6,+30.8,3.24,+0.96,G9.5‡VbFe0.5,-10,<17,30,110
ƒĞ Sco,Almiyat,162111,-2535.6,-0010,-0018,351.3,+17.0,2.89d,+0.13,B1‡V,3,53,4,730
ƒÅ Dra,Athebyne,162359,+6130.9,-0017,+0057,92.6,+41.0,2.74,+0.91,G8-‡Vab,-14,<17,37,88
ƒ¿ Sco,Antares,162924,-2625.9,-0010,-0023,352.0,-15.1,0.96dv,+1.83,M1.5‡Tab-‡Tb+PAVe,-3,…20,5,600
ƒÀ Her,Kornephoros,163013,+2129.4,-0098,-0014,39.0,+40.2,2.77,+0.94,G7‡Va,-26,<19,22,150
ƒÑ Sco,Paikauhale,163553,-2813.0,-0009,-0023,351.5,+12.8,2.82,-0.25,B0‡X,2,24,8,430
ƒÄ Oph,,163710,-1034.0,+0013,+0025,6.3,+23.6,2.56,+0.02,O9.5‡Xn,-15,379,7,460
ƒÄ her,,164116,+3136.3,-0463,+0345,52.7,+40.3,2.81d,+0.65,G0‡W+G7‡X,-70,…10,93,35
ƒ¿ TrA,Atria,164840,-6901.7,+0018,-0033,321.5,-15.3,1.92,+1.44,K2‡Ub-‡Va,-3,,8,420
ƒÃ Sco,Larawag,165009,-3417.7,-0612,-0256,348.8,+6.6,2.29,+1.15,K2.5‡V,-3,,50,65
ƒÊ Sco,Xamidimura,165152,-3802.9,-0009,-0022,346.1,+3.9,3.08d,-0.20,B1.5‡X+B6.5‡X,-25,239,4,820
ƒÈ Oph,,1657440,+0922.5,-0293,-0010,28.4,+29.5,3.20,+1.15,K2‡V,-56,<17,38,86
ƒÄ Ara,,165837,-5559.4,-0018,-0035,332.8,-8.2,3.13,-1.60,K3‡V,-6,,6,570
ƒÄ Dra,Aldhibah,170847,+6542.9,-0021,+0019,96.0,+35.0,3.17,-0.12,B6‡V,-17,31,10,340
ƒÅ Oph,Sabik,171023,-1543.5,+0041,+0098,6.7,+14.0,2.43d,+0.06,A2‡X+A3‡X,-1,26,39,84
ƒ¿ Her,Rasalgethi,171439,+1423.4,-0007,+0033,35.5,+27.8,3.08d,+1.44,M5‡Tb‡U+G5‡V+F2‡X,-33,21,9,380
ƒÂHer,Sarin,171502,+2450.3,-0021,-0158,46.8,+31.4,3.14,+0.08,A3‡W,-40,290,42,78
ƒÎ Her,,171503,+3648.6,-0027,+0003,60.7,+34.3,3.16,+1.44,K3‡Uab,-26,<17,9,370
ƒÆ Oph,,172201,-2460.0,-0009,-0024,0.5,+6.6,3.27d,-0.22,B2‡W,-2,35,6,560
ƒÀ Ara,,172518,-5531.8,-0008,-0025,335.4,-11.0,2.85,+1.46,K3‡Tb-‡Ua,0,,5,600
ƒÀ Dra,Rastaban,173026,+5218.1,-0016,+0012,79.6,+53.3,2.79,+0.98,G2‡Tb-‡Ua,-20,13,9,360
ƒË Sco,Lesath,173046,-3717.8,-0004,-0029,351.3,-1.8,2.69,-0.22,B2‡W,8,43,6,520
ƒ¿ Ara,,173150,-4952.6,-0031,-0067,340.8,-8.8,2.95,-0.17,B2‡Xne,0,298,13,240
ƒÉ Sco,Shaula,173337,-3706.2,-0009,-0030,351.7,-2.2,1.63,-0.22,B2‡W+B,-3,163,5,700
ƒ¿ Oph,Rasalhange,173456,+1233.5,+0110,-0223,35.9,+22.6,2.08d,+0.15,A5‡V,13,219,70,47
ƒÆ Sco,Sargas,173719,-4259.9,+0006,-0001,347.1,-6.0,1.87,+0.40,F1‡U,1,105,12,270
ƒÈ Sco,,174229,-3901.8,-0006,-0026,351.0,-4.7,2.41,-0.22,B1.5‡V,-14,131,7,460
ƒÀ Oph,Cebalrai,174328,+0434.1,-0041,+0159,29.2,+17.2,2.77,+1.16,K2‡V,-12,…17,40,82
ƒÇ Sco,,174735,-4007.6,+0000,-0006,350.6,-6.1,3.03,+0.51,F2‡Tae,-28,36,2,1800
G Sco,Fuyue,174952,-3702.6,+0042,+0028,353.5,-4.9,3.21,+1.17,K2‡V,25,,26,130
ƒÁ Dra,Eltanin,175636,+5129.3,-0009,-0023,79.1,+29.2,2.23,+1.52,K5‡V,-28,<17,22,150
ƒÁ Sgr,Alnasl,180548,-3025.5,-0056,-0182,0.9,-4.5,2.99,+1.00,K0‡V,22,,34,96
ƒÅ Sgr,,181737,-3645.8,-0129,-0167,356.4,-9.7,3.11d,+1.56,M3.5‡V,1,,22,150
ƒÂ Sgr,Kaus Media,182100,-2949.7,+0030,-0026,3.0,-7.2,2.70,+1.38,K3-‡Va*,-20,,11,310
ƒÅ Ser,,182118,-0254.2,-0548,-0701,26.9,+5.4,3.26,+0.94,K0‡V-‡W,9,<19,53,62
ƒÃ Sgr,Kaus Australis,182410,-3423.1,-0040,-0124,359.2,-9.8,1.85,-0.03,B9.5‡V,-15,140,23,140
ƒÉ Sgr,Kaus Borealis,182758,-2525.4,-0045,-0186,7.7,-6.5,2.81,+1.04,K1+‡Vb,-43,,42,77
ƒ¿ Lyr,Vega,183657,+3847.1,+0201,+0287,67.4,+19.2,0.03,0.00,A0‡Xa,-14,15,129,25
ƒÓ Sgr,,184539,-2659.4,+0051,+0000,8.0,-10.8,3.17d,-0.11,B8‡V,22,68,14,230
ƒĞ Sgr,Nunki,185516,-2617.8,+0014,-0053,9.6,-12.4,2.02,-0.22,B25‡X,-11,201,15,220
ƒÁ Lyr,Sulafat,185857,+3241.4,-0003,+0002,63.3,+12.8,3.24,-0.05,B9‡V,21,76,5,630
ƒÄ Sgr,Ascella,190237,-2952.8,-0014,+0004,6.8,-15.4,2.60d,+0.08,A2‡V+A4‡W,22,72,37,89
